연번,업종명,업소명,소     재     지,면적(㎡)
206,일반음식점,토종한식, 청주시 서원구 사직대로144번길 10 (사창동 (1층)),
207,일반음식점,화양양꼬치, 청주시 서원구 1순환로672번길 45  3층 (사창동),
208,일반음식점,토리덴, 청주시 서원구 1순환로672번길 30 (사창동 (1층)),
209,일반음식점,소문난 손두부와 굴의만남, 청주시 서원구 내수동로 166  1층 (사창동),
210,일반음식점,청룡족발, 청주시 서원구 창신로32번길 1 (사창동),
211,일반음식점,만두가(家), 청주시 서원구 예체로67번길 37 (사창동 (1층)),
212,일반음식점,장터부속구이, 청주시 서원구 사직대로104번길 22-1 (사창동 (1층)),
213,일반음식점,고모네추어탕, 청주시 서원구 내수동로 132 (사창동 (1층)),
214,일반음식점,청송얼음막걸리, 청주시 서원구 내수동로114번길 26 (사창동),
215,일반음식점,금수정, 청주시 서원구 내수동로 91 (사창동),
216,일반음식점,장날순대, 청주시 서원구 창신로 30  1층 (사창동),
217,일반음식점,김밥천국, 청주시 서원구 1순환로 680 (사창동 (1층)),
218,일반음식점,이올렛(EOLET), 청주시 서원구 내수동로 117 (사창동),
219,일반음식점,소주신랑보쌈부인, 청주시 서원구 1순환로674번길 26  3층 (사창동),
220,일반음식점,일번지포차, 청주시 서원구 1순환로672번길 33  2층 3층 (사창동),
221,일반음식점,뽀뚜루까아저씨, 청주시 서원구 사직대로 110 (사창동),
222,일반음식점,카스타운, 청주시 서원구 천수로 5 (사창동),
223,일반음식점,경주식당, 청주시 서원구 1순환로653번길 19 (사창동),
224,일반음식점,유가네찌개전문점, 청주시 서원구 예체로 115 (사창동 (1층)),
225,일반음식점,후루룩쩝쩝, 청주시 서원구 모충로35번길 6  1층 (개신동),
226,일반음식점,비바체, 청주시 서원구 1순환로 727 (개신동 (1층)),
227,일반음식점,가마꿉, 청주시 서원구 모충로 18  드림빌딩 1층 (개신동),
228,일반음식점,맛존 매콤 닭불고기, 청주시 서원구 1순환로672번길 51 (사창동  (1층)),
229,일반음식점,동인돼지갈비, 청주시 서원구 예체로 1  1층 (개신동),
230,일반음식점,동태찌게유명한집, 청주시 서원구 예체로 141 (사창동 (1층)),
231,일반음식점,빡시기호프&치킨, 청주시 서원구 내수동로 170 (사창동 (1층)),
232,일반음식점,효자웰빙돈까스, 청주시 서원구 사직대로144번길 42  상가동 1층 104호 (사창동  대원칸타빌),
233,일반음식점,자연을담은 돈까스(충북대점), 청주시 서원구 내수동로108번길 51  2층 (사창동),
234,일반음식점,덕평리, 청주시 서원구 내수동로108번길 21  1층 (사창동),
235,일반음식점,도담이네 닭계장, 청주시 서원구 창신로 23 (사창동 (1층)),
236,일반음식점,몬스터피자앤펍, 청주시 서원구 내수동로 95 (사창동 (2층)),
237,일반음식점,Kush(쿠쉬), 청주시 서원구 내수동로108번길 16 (사창동),
238,일반음식점,왕큰손파닭(중문점), 청주시 서원구 내수동로 93  1층 (사창동),
239,일반음식점,중원양꼬치, 청주시 서원구 내수동로114번길 39  1층 101호 (사창동  유정빌리지),
240,일반음식점,빅 돈부리 충북대점, 청주시 서원구 1순환로674번길 62 (사창동 (1층)),
241,일반음식점,이닭포차, 청주시 서원구 내수동로108번길 23 (사창동 (3층)),
242,일반음식점,시장통닭, 청주시 서원구 창신로32번길 1  A동 1층 (사창동),
243,일반음식점,대명관, 청주시 서원구 내수동로 136 (사창동),
244,일반음식점,제천 보리밥, 청주시 서원구 창신로26번길 57-8 (사창동 (1층)),
245,일반음식점,오두막, 청주시 서원구 예체로1번길 25 (개신동  우정@상가 102호),
246,일반음식점,송학갈비촌 , 청주시 서원구 1순환로674번길 38 (사창동),
247,일반음식점,사일공, 청주시 서원구 내수동로108번길 18  2 3층 (사창동),
248,일반음식점,스시아마이, 청주시 서원구 사직대로112번길 6  1층 (사창동),
249,일반음식점,국수나무, 청주시 서원구 사직대로 115  1층 (사창동  103호),
250,일반음식점,한솥, 청주시 서원구 1순환로674번길 62  1층 (사창동),
251,일반음식점,꿀꿀이순대분식, 청주시 서원구 사직대로164번길 30 (사창동),
252,일반음식점,빛내리, 청주시 서원구 내수동로 145  A동 1층 (사창동),
253,일반음식점,지노, 청주시 서원구 내수동로108번길 15 (사창동 (2층)),
254,일반음식점,청주빈대떡개신점, 청주시 서원구 장구봉로 128 (개신동 (1층)),
255,일반음식점,루 & 각, 청주시 서원구 1순환로672번길 54  지하1층 (사창동),
256,일반음식점,그집에가면, 청주시 서원구 장구봉로 132  1층 (개신동),
257,일반음식점,피그테일, 청주시 서원구 내수동로 175  1층 (사창동),
258,일반음식점,석호네 닭발, 청주시 서원구 예체로67번길 79  1층 101호 (사창동),
259,일반음식점,고향순대, 청주시 서원구 내수동로 191 (사창동),
260,일반음식점,동경식탁, 청주시 서원구 1순환로672번길 34  1층  2층 (사창동),
261,일반음식점,평화정육점식당, 청주시 서원구 사직대로185번길 10 (사창동),
262,일반음식점,중문탕수육, 청주시 서원구 1순환로674번길 72 (사창동 (지하1층)),
263,일반음식점,본죽모충점, 청주시 서원구 1순환로 771  1층 (개신동),
264,일반음식점,육회관, 청주시 서원구 내수동로108번길 16  1층 (사창동),
265,일반음식점,민속주막태, 청주시 서원구 내수동로108번길 27 (사창동 지하1층),
266,일반음식점,폼프리츠(Pomme frites), 청주시 서원구 1순환로674번길 56 (사창동 (1층)),
267,일반음식점,청춘반점, 청주시 서원구 1순환로674번길 38 (사창동),
268,일반음식점,Burrito in(부리또 인)충북대점, 청주시 서원구 1순환로674번길 38 (사창동),
269,일반음식점,장바우, 청주시 서원구 내수동로114번길 57 (사창동 (1층)),
270,일반음식점,홍콩반점0410 충북대중문점, 청주시 서원구 내수동로114번길 8  1층 (사창동),
271,일반음식점,룸메이트, 청주시 서원구 1순환로674번길 24  2층 (사창동),
272,일반음식점,한끼, 청주시 서원구 1순환로680번길 23 (사창동 (1층)),
273,일반음식점,꾼, 청주시 서원구 내수동로108번길 33  1층 지하1층 (사창동),
274,일반음식점,배낭골식당, 청주시 서원구 사직대로176번길 16 (사창동 (1층)),
275,일반음식점,허드슨레스토랑, 청주시 서원구 사직대로 120 (사창동 (지하1층)),
276,일반음식점,79대포 청주 충북대점, 청주시 서원구 1순환로672번길 41 (사창동),
277,일반음식점,한조각, 청주시 서원구 내수동로108번길 43  1층 (사창동),
278,일반음식점,진천집아리랑, 청주시 서원구 1순환로672번길 30  지하1층 (사창동),
279,일반음식점,청주시계탑 계란말이김밥, 청주시 서원구 사직대로 187  1층 (사창동),
280,일반음식점,김밥마을, 청주시 서원구 사직대로 151-1 (사창동),
281,일반음식점,우쿠한뼘불고기, 청주시 서원구 1순환로694번길 12  1층 (사창동),
282,일반음식점,모아만두, 청주시 서원구 창신로32번길 1 (사창동 (1층)),
283,일반음식점,칭기스칸, 청주시 서원구 내수동로108번길 19 (사창동 (4층)),
284,일반음식점,사막의하얀꽃, 청주시 서원구 내수동로108번길 19 (사창동 (2층)),
285,일반음식점,한마음정육식당, 청주시 서원구 1순환로674번길 24  1층 (사창동),
286,일반음식점,가야도시락, 청주시 서원구 내수동로 191-1  C동 1층 (사창동  2013.03.21지번변경(토지합병)및C동 명칭부여),
287,일반음식점,자매보리밥, 청주시 서원구 신율로 68 (개신동 (1층)),
288,일반음식점,투다리, 청주시 서원구 창직로 19-1 (사창동),
289,일반음식점,토배기, 청주시 서원구 창신로21번길 1 (사창동 (1층)),
290,일반음식점,대박촌식당, 청주시 서원구 내수동로 184  A동 2층 (사창동  토지합병으로 지번변경(2013.08.29)),
291,일반음식점,누나홀닭(누구나홀딱반한닭)충북대점, 청주시 서원구 1순환로672번길 26  1 2층 (사창동),
292,일반음식점,옛날왕만두, 청주시 서원구 창신로31번길 8 (사창동 (1층)),
293,일반음식점,신가네칼국수, 청주시 서원구 1순환로648번길 38 (사창동 (1층)),
294,일반음식점,의정부부대찌개, 청주시 서원구 내수동로 166 (사창동 외 1필지 (1층)),
295,일반음식점,옥돌사시미, 청주시 서원구 장구봉로138번길 4 (개신동 (1층)),
296,일반음식점,전설의불닭, 청주시 서원구 1순환로694번길 11  1층 (사창동),
297,일반음식점,범벅골, 청주시 서원구 내수동로 97 (사창동 (지하1층)),
